product_name,description,main_category,sub_category,target_group,product_type,features,tags,attributes,price
Kamp Çadırı 2 Kişilik,Hafif ve su geçirmez yapısıyla hafta sonu kampları için uygun iki kişilik çadır,Kamp,Çadır,Unisex,Kamp Çadırı,"su geçirmez,hafif,taşınabilir","kamp,çadır,outdoor,yağmur,barınma","{""kullanim"":[""konaklama"",""barınma""],""ortam"":[""kamp"",""outdoor"",""yağmur""],""kapasite"":[""2 kişilik""],""ozellik"":[""su geçirmez"",""hafif"",""taşınabilir""]}",1899
Kamp Çadırı 4 Kişilik,Geniş iç hacmiyle aile ve grup kampları için uygun su geçirmez kamp çadırı,Kamp,Çadır,Unisex,Kamp Çadırı,"su geçirmez,geniş,aile tipi","kamp,çadır,aile,outdoor,barınma","{""kullanim"":[""konaklama"",""aile kampı""],""ortam"":[""kamp"",""outdoor""],""kapasite"":[""4 kişilik""],""ozellik"":[""su geçirmez"",""geniş"",""aile tipi""]}",2899
LED Kamp Lambası,Kamp ve gece kullanımı için şarjlı taşınabilir aydınlatma lambası,Kamp,Aydınlatma,Unisex,Kamp Lambası,"şarjlı,taşınabilir,aydınlatma","kamp,gece,ışık,lamba,aydınlatma","{""kullanim"":[""aydınlatma""],""ortam"":[""kamp"",""gece"",""karanlık""],""ozellik"":[""şarjlı"",""taşınabilir"",""kompakt""]}",399
Gazlı Kamp Ocağı,Açık havada yemek hazırlamak için taşınabilir mini gazlı kamp ocağı,Kamp,Pişirme,Unisex,Kamp Ocağı,"taşınabilir,hafif,mini","kamp,yemek,pişirme,ocak,outdoor","{""kullanim"":[""yemek yapmak"",""pişirme""],""ortam"":[""kamp"",""outdoor""],""ozellik"":[""taşınabilir"",""hafif"",""mini""]}",749
Uyku Tulumu,Soğuk havalarda kamp yaparken sıcak tutan hafif uyku tulumu,Kamp,Uyku,Unisex,Uyku Tulumu,"sıcak,hafif,kışlık","kamp,uyku,tulum,gece,soğuk","{""kullanim"":[""uyku"",""konaklama""],""ortam"":[""kamp"",""gece"",""soğuk hava""],""ozellik"":[""sıcak tutan"",""hafif"",""kışlık""]}",899
Kamp Matı,Kamp sırasında zeminde daha rahat uyumak için katlanabilir yumuşak mat,Kamp,Uyku,Unisex,Kamp Matı,"katlanabilir,yumuşak,hafif","kamp,uyku,mat,zemin,rahat","{""kullanim"":[""uyku"",""zemin konforu""],""ortam"":[""kamp"",""outdoor""],""ozellik"":[""katlanabilir"",""yumuşak"",""hafif""]}",299
Katlanır Kamp Masası,Açık hava ve kamp kullanımı için hafif alüminyum gövdeli katlanabilir masa,Kamp,Mobilya,Unisex,Kamp Masası,"hafif,taşınabilir,katlanır","kamp,masa,outdoor,yemek,katlanır","{""kullanim"":[""yemek"",""eşya yerleştirme""],""ortam"":[""kamp"",""outdoor""],""ozellik"":[""hafif"",""taşınabilir"",""katlanır""]}",1349
Kamp Sandalyesi,Kamp ve piknikte oturma konforu sağlayan katlanabilir taşıma çantalı sandalye,Kamp,Mobilya,Unisex,Kamp Sandalyesi,"katlanabilir,rahat,taşınabilir","kamp,sandalye,oturma,piknik,outdoor","{""kullanim"":[""oturma"",""dinlenme""],""ortam"":[""kamp"",""piknik"",""outdoor""],""ozellik"":[""katlanabilir"",""rahat"",""taşınabilir""]}",699
El Feneri,Gece ve açık hava kullanımı için yüksek ışık gücüne sahip taşınabilir el feneri,Aksesuar,Aydınlatma,Unisex,El Feneri,"güçlü ışık,taşınabilir,hafif","gece,ışık,fener,kamp,aydınlatma","{""kullanim"":[""aydınlatma""],""ortam"":[""gece"",""kamp"",""karanlık"",""outdoor""],""ozellik"":[""güçlü ışık"",""taşınabilir"",""hafif""]}",299
İlk Yardım Seti,Araçta ve kampta acil durumlar için kullanılabilecek temel ilk yardım çantası,Aksesuar,Güvenlik,Unisex,İlk Yardım Seti,"acil durum,taşınabilir,temel","ilk yardım,güvenlik,kamp,araç,acil","{""kullanim"":[""acil durum"",""güvenlik""],""ortam"":[""kamp"",""araç"",""outdoor""],""ozellik"":[""taşınabilir"",""temel yardım"",""kompakt""]}",459
Koşu Ayakkabısı,Koşu ve spor kullanımına uygun hafif tabanlı nefes alabilir ayakkabı,Ayakkabı,Spor Ayakkabı,Unisex,Koşu Ayakkabısı,"hafif,rahat,spor,nefes alabilir","koşu,spor,ayakkabı,rahat,hafif","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""koşu"",""spor""],""ortam"":[""şehir"",""spor alanı""],""ozellik"":[""hafif"",""rahat taban"",""nefes alabilir""]}",1799
Yürüyüş Ayakkabısı,Outdoor yürüyüşlerde kullanıma uygun suya dayanıklı sağlam tabanlı ayakkabı,Ayakkabı,Outdoor Ayakkabı,Unisex,Yürüyüş Ayakkabısı,"su geçirmez,sağlam,rahat,outdoor","yürüyüş,outdoor,ayakkabı,yağmur,su geçirmez","{""mevsim"":[""ilkbahar"",""sonbahar"",""kış""],""kullanim"":[""yürüyüş"",""outdoor""],""ortam"":[""doğa"",""yağmur"",""dış mekan""],""ozellik"":[""su geçirmez"",""sağlam taban"",""rahat""]}",2199
Kadın Sneaker Günlük,Günlük kullanım için şık ve rahat kadın sneaker modeli,Ayakkabı,Sneaker,Kadın,Sneaker,"hafif,şık,rahat","kadın,günlük,sneaker,ayakkabı,şehir","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""günlük""],""ortam"":[""şehir""],""ozellik"":[""hafif"",""rahat"",""şık""]}",1399
Erkek Sneaker Günlük,Günlük şehir kullanımı için rahat tabanlı erkek sneaker modeli,Ayakkabı,Sneaker,Erkek,Sneaker,"hafif,rahat,günlük","erkek,günlük,sneaker,ayakkabı,şehir","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""günlük""],""ortam"":[""şehir""],""ozellik"":[""hafif"",""rahat taban"",""günlük""]}",1499
Kadın Bot Su Geçirmez,Yağmurlu ve soğuk havalar için uygun su geçirmez kadın botu,Ayakkabı,Bot,Kadın,Bot,"su geçirmez,sağlam,kışlık","kadın,bot,yağmur,kış,su geçirmez","{""mevsim"":[""kış"",""sonbahar""],""kullanim"":[""günlük"",""outdoor""],""ortam"":[""yağmur"",""soğuk hava"",""dış mekan""],""ozellik"":[""su geçirmez"",""sağlam"",""kışlık""]}",2499
Erkek Bot Outdoor,Zorlu hava şartları ve dış mekan kullanımı için sağlam erkek outdoor botu,Ayakkabı,Bot,Erkek,Bot,"su geçirmez,sağlam,outdoor","erkek,bot,outdoor,yağmur,kış","{""mevsim"":[""kış"",""sonbahar""],""kullanim"":[""outdoor"",""yürüyüş""],""ortam"":[""doğa"",""yağmur"",""soğuk hava""],""ozellik"":[""su geçirmez"",""sağlam taban"",""outdoor""]}",2699
Kadın Yazlık Elbise,Yaz aylarında günlük kullanım için hafif kumaşlı rahat kadın elbisesi,Giyim,Elbise,Kadın,Yazlık,"hafif,yazlık,rahat","kadın,elbise,yaz,günlük,hafif","{""mevsim"":[""yaz""],""kullanim"":[""günlük""],""stil"":[""rahat""],""ozellik"":[""hafif"",""yazlık"",""rahat""]}",1299
Kadın Abiye Elbise,Özel gün ve davetlerde kullanıma uygun şık uzun kadın abiye elbisesi,Giyim,Elbise,Kadın,Abiye,"şık,uzun,davet","kadın,elbise,abiye,özel gün,davet","{""mevsim"":[""dört mevsim""],""kullanim"":[""özel gün"",""davet""],""stil"":[""şık"",""abiye""],""ozellik"":[""uzun"",""şık"",""davet için uygun""]}",3299
Erkek Spor Gömlek,Günlük kullanım için rahat kesimli hafif erkek spor gömlek,Giyim,Gömlek,Erkek,Spor Gömlek,"rahat,günlük,hafif","erkek,gömlek,günlük,spor,rahat","{""mevsim"":[""ilkbahar"",""yaz""],""kullanim"":[""günlük""],""stil"":[""spor""],""ozellik"":[""rahat"",""hafif"",""günlük""]}",999
Erkek Klasik Gömlek,Ofis ve özel gün kullanımı için şık klasik erkek gömlek,Giyim,Gömlek,Erkek,Klasik Gömlek,"şık,ofis,klasik","erkek,gömlek,ofis,klasik,özel gün","{""mevsim"":[""dört mevsim""],""kullanim"":[""ofis"",""özel gün""],""stil"":[""klasik"",""şık""],""ozellik"":[""ofis için uygun"",""klasik"",""şık""]}",1499
Polar Mont,Soğuk havalarda günlük kullanım için sıcak tutan fermuarlı polar mont,Giyim,Mont,Unisex,Polar Mont,"sıcak,kışlık,rahat","soğuk,kış,mont,polar,sıcak","{""mevsim"":[""kış""],""kullanim"":[""günlük""],""ortam"":[""soğuk hava""],""ozellik"":[""sıcak tutan"",""rahat"",""kışlık""]}",1199
Yağmurluk,Yağmurlu havalarda dış mekan kullanımı için su geçirmez kapüşonlu yağmurluk,Giyim,Mont,Unisex,Yağmurluk,"su geçirmez,kapüşonlu,yağmurlu hava","yağmur,yağmurluk,mont,outdoor,su geçirmez","{""mevsim"":[""ilkbahar"",""sonbahar""],""kullanim"":[""günlük"",""outdoor""],""ortam"":[""yağmur"",""dış mekan""],""ozellik"":[""su geçirmez"",""kapüşonlu"",""hafif""]}",799
Kablosuz Mouse,Bilgisayar kullanımı için ergonomik tasarımlı sessiz kablosuz mouse,Elektronik,Bilgisayar,Unisex,Mouse,"kablosuz,ergonomik,sessiz","mouse,bilgisayar,kablosuz,ofis,ergonomik","{""baglanti"":[""kablosuz""],""kullanim"":[""bilgisayar"",""ofis""],""ozellik"":[""ergonomik"",""sessiz"",""kablosuz""]}",349
Mekanik Klavye,Oyun ve bilgisayar kullanımı için RGB ışıklı mekanik oyuncu klavyesi,Elektronik,Bilgisayar,Unisex,Klavye,"rgb,oyuncu,mekanik","klavye,bilgisayar,oyun,gaming,rgb","{""baglanti"":[""kablolu""],""kullanim"":[""oyun"",""bilgisayar""],""ozellik"":[""mekanik"",""rgb"",""oyuncu""]}",1299
Bluetooth Kulaklık,Müzik ve telefon kullanımı için gürültü azaltmalı kablosuz bluetooth kulaklık,Elektronik,Ses,Unisex,Kulaklık,"kablosuz,bluetooth,gürültü azaltma","kulaklık,bluetooth,müzik,telefon,kablosuz","{""baglanti"":[""bluetooth"",""kablosuz""],""kullanim"":[""müzik"",""telefon""],""ozellik"":[""gürültü azaltma"",""kablosuz"",""taşınabilir""]}",1599
Akıllı Saat,Spor takibi ve bildirim özellikleriyle günlük kullanıma uygun akıllı saat,Elektronik,Giyilebilir,Unisex,Akıllı Saat,"bildirim,spor,şarjlı","saat,akıllı saat,spor,bildirim,giyilebilir","{""baglanti"":[""bluetooth""],""kullanim"":[""spor"",""günlük"",""bildirim""],""ozellik"":[""spor takibi"",""bildirim"",""şarjlı""]}",2499
